@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
108,'2017/11/20 19:52:02:151',2,0.35435,0.279729,0.550926,0.083849,1
109,'2017/11/20 19:52:02:171',2,0.35596,0.284399,0.549373,0.080323,1
110,'2017/11/20 19:52:02:191',2,0.356987,0.288095,0.547692,0.078293,1
111,'2017/11/20 19:52:02:211',2,0.358339,0.29252,0.544477,0.076052,1
112,'2017/11/20 19:52:02:231',2,0.358416,0.296197,0.539615,0.075164,1
113,'2017/11/20 19:52:02:251',2,0.36007,0.297404,0.529521,0.078117,1
114,'2017/11/20 19:52:02:271',2,0.359565,0.290375,0.516149,0.088086,1
115,'2017/11/20 19:52:02:291',2,0.359989,0.281667,0.497502,0.104831,1
116,'2017/11/20 19:52:02:311',2,0.361689,0.279527,0.48917,0.11468,1
117,'2017/11/20 19:52:02:331',2,0.36395,0.278331,0.483274,0.122993,1
118,'2017/11/20 19:52:02:351',2,0.365742,0.27695,0.477924,0.131986,1
119,'2017/11/20 19:52:02:371',2,0.366826,0.275163,0.475145,0.138093,1
120,'2017/11/20 19:52:02:391',2,0.367622,0.272992,0.473053,0.143941,1
121,'2017/11/20 19:52:02:411',2,0.369076,0.269963,0.470795,0.151604,1
122,'2017/11/20 19:52:02:431',2,0.36927,0.268287,0.470137,0.155235,1
123,'2017/11/20 19:52:02:451',2,0.369959,0.265512,0.470376,0.158798,1
124,'2017/11/20 19:52:02:471',2,0.371904,0.260527,0.473007,0.163311,1
125,'2017/11/20 19:52:02:491',2,0.372343,0.257289,0.476515,0.164501,1
126,'2017/11/20 19:52:02:511',2,0.37063,0.253341,0.481845,0.164325,1
127,'2017/11/20 19:52:02:531',2,0.368178,0.251159,0.487864,0.161415,1
128,'2017/11/20 19:52:02:551',2,0.365944,0.255015,0.499822,0.148996,1
129,'2017/11/20 19:52:02:571',2,0.364593,0.262171,0.509626,0.138096,1
130,'2017/11/20 19:52:02:591',2,0.362876,0.26912,0.51845,0.128773,1
131,'2017/11/20 19:52:02:611',2,0.359088,0.278936,0.531657,0.115904,1
132,'2017/11/20 19:52:02:631',2,0.357177,0.278867,0.538795,0.11392,1
133,'2017/11/20 19:52:02:651',2,0.354773,0.27809,0.545834,0.112704,1
134,'2017/11/20 19:52:02:671',2,0.351117,0.280385,0.553001,0.107576,1
135,'2017/11/20 19:52:02:691',2,0.35133,0.284183,0.555245,0.102046,1
136,'2017/11/20 19:52:02:711',2,0.352996,0.285975,0.556818,0.097749,1
137,'2017/11/20 19:52:02:731',2,0.356393,0.289018,0.557755,0.091175,1
138,'2017/11/20 19:52:02:751',2,0.357756,0.29122,0.557699,0.087702,1
139,'2017/11/20 19:52:02:771',2,0.357802,0.293083,0.557383,0.085541,1
140,'2017/11/20 19:52:02:791',2,0.355749,0.29439,0.557114,0.084467,1
141,'2017/11/20 19:52:02:811',2,0.353365,0.295862,0.556089,0.084581,1
142,'2017/11/20 19:52:02:831',2,0.350425,0.297544,0.554465,0.085066,1
143,'2017/11/20 19:52:02:851',2,0.348918,0.299144,0.552885,0.084788,1
144,'2017/11/20 19:52:02:871',2,0.344425,0.30047,0.549461,0.08718,1
145,'2017/11/20 19:52:02:891',2,0.341078,0.301355,0.543598,0.08928,1
146,'2017/11/20 19:52:02:911',2,0.334345,0.301603,0.525901,0.090222,1
147,'2017/11/20 19:52:02:931',2,0.331002,0.304027,0.506564,0.095424,1
148,'2017/11/20 19:52:02:971',2,0.341066,0.315376,0.487685,0.10212,1
149,'2017/11/20 19:52:02:991',2,0.350372,0.32449,0.471753,0.107222,1
150,'2017/11/20 19:52:03:011',2,0.353909,0.330681,0.468045,0.109448,1
151,'2017/11/20 19:52:03:031',2,0.355443,0.335866,0.466353,0.110501,1
152,'2017/11/20 19:52:03:051',2,0.356247,0.340917,0.465535,0.110492,1
153,'2017/11/20 19:52:03:071',2,0.356733,0.348714,0.465585,0.108687,1
154,'2017/11/20 19:52:03:091',2,0.356911,0.35248,0.466403,0.107171,1
155,'2017/11/20 19:52:03:111',2,0.357133,0.356611,0.467061,0.105777,1
156,'2017/11/20 19:52:03:131',2,0.357199,0.361835,0.468213,0.104355,1
157,'2017/11/20 19:52:03:151',2,0.356935,0.3647,0.468754,0.103839,1
158,'2017/11/20 19:52:03:171',2,0.356866,0.366697,0.46923,0.103605,1
159,'2017/11/20 19:52:03:191',2,0.356456,0.369685,0.46975,0.103376,1
160,'2017/11/20 19:52:03:211',2,0.356285,0.370967,0.470158,0.103464,1
161,'2017/11/20 19:52:03:231',2,0.355834,0.372808,0.4706,0.103477,1
162,'2017/11/20 19:52:03:251',2,0.356127,0.374651,0.470465,0.104281,1
163,'2017/11/20 19:52:03:271',2,0.356238,0.38059,0.470996,0.104739,1
164,'2017/11/20 19:52:03:291',2,0.355848,0.383851,0.471502,0.104846,1
165,'2017/11/20 19:52:03:311',2,0.355331,0.387423,0.472039,0.105049,1
166,'2017/11/20 19:52:03:331',2,0.3549,0.391953,0.472926,0.105542,1
167,'2017/11/20 19:52:11:282',2,0.713985,0.471213,0.410842,0.15235,2
168,'2017/11/20 19:52:11:302',2,0.716274,0.483849,0.40828,0.1658,2
169,'2017/11/20 19:52:11:322',2,0.718368,0.492861,0.406556,0.17569,2
170,'2017/11/20 19:52:11:342',2,0.722013,0.506113,0.403939,0.191065,2
171,'2017/11/20 19:52:11:362',2,0.724486,0.512077,0.402425,0.198373,2
172,'2017/11/20 19:52:11:382',2,0.725766,0.515418,0.401883,0.202623,2
173,'2017/11/20 19:52:11:402',2,0.726621,0.515187,0.402195,0.202875,2
174,'2017/11/20 19:52:11:422',2,0.72555,0.510472,0.403602,0.198345,2
175,'2017/11/20 19:52:11:442',2,0.721303,0.501945,0.406138,0.190083,2
176,'2017/11/20 19:52:11:462',2,0.714007,0.492455,0.407971,0.181436,2
177,'2017/11/20 19:52:11:482',2,0.698636,0.474628,0.410818,0.165829,2
178,'2017/11/20 19:52:11:502',2,0.685845,0.461009,0.410927,0.154412,2
179,'2017/11/20 19:52:11:522',2,0.671386,0.447718,0.411246,0.144711,2
180,'2017/11/20 19:52:11:542',2,0.648946,0.412932,0.415334,0.118377,2
181,'2017/11/20 19:52:11:562',2,0.633154,0.377727,0.422649,0.097938,2
182,'2017/11/20 19:52:11:582',2,0.617499,0.349636,0.427273,0.090325,2
183,'2017/11/20 19:52:11:602',2,0.602642,0.323588,0.432688,0.090181,2
184,'2017/11/20 19:52:11:622',2,0.582536,0.310586,0.433616,0.091739,2
185,'2017/11/20 19:52:11:642',2,0.570324,0.300228,0.435856,0.094148,2
186,'2017/11/20 19:52:11:662',2,0.558125,0.2906,0.437773,0.097183,2
187,'2017/11/20 19:52:11:682',2,0.542332,0.273688,0.442915,0.105168,2
188,'2017/11/20 19:52:11:702',2,0.532464,0.260347,0.447491,0.113361,2
189,'2017/11/20 19:52:11:722',2,0.524871,0.246983,0.451986,0.123113,2
190,'2017/11/20 19:52:11:742',2,0.515925,0.225835,0.458436,0.14069,2
191,'2017/11/20 19:52:11:782',2,0.51155,0.20623,0.463912,0.158682,2
192,'2017/11/20 19:52:11:802',2,0.508299,0.169715,0.474912,0.198496,2
193,'2017/11/20 19:52:11:822',2,0.508445,0.142263,0.48283,0.230663,2
194,'2017/11/20 19:52:11:842',2,0.511136,0.115469,0.490345,0.263551,2
195,'2017/11/20 19:52:11:862',2,0.517032,0.089011,0.496405,0.296642,2
196,'2017/11/20 19:52:11:882',2,0.531263,0.067633,0.499338,0.321284,2
197,'2017/11/20 19:52:11:902',2,0.541469,0.053683,0.500843,0.338355,2
198,'2017/11/20 19:52:11:922',2,0.555369,0.036346,0.502652,0.360332,2
199,'2017/11/20 19:52:11:942',2,0.579412,0.010571,0.504375,0.391989,2
200,'2017/11/20 19:52:11:962',2,0.59677,0,0.503034,0.404999,2
201,'2017/11/20 19:52:11:982',2,0.611507,0,0.506841,0.430563,2
202,'2017/11/20 19:52:12:002',2,0.630845,0,0.518519,0.481401,2
203,'2017/11/20 19:52:12:022',2,0.64299,0,0.52495,0.524931,2
204,'2017/11/20 19:52:12:042',2,0.659131,0,0.533414,0.562162,2
205,'2017/11/20 19:52:12:062',2,0.683876,0,0.539892,0.596479,2
206,'2017/11/20 19:52:12:082',2,0.692973,0,0.542395,0.588199,2
207,'2017/11/20 19:52:12:102',2,0.718599,0,0.533246,0.526197,2
208,'2017/11/20 19:52:12:122',2,0.726402,0,0.518535,0.390484,2
209,'2017/11/20 19:52:12:142',2,0.729245,0,0.529191,0.350506,2
210,'2017/11/20 19:52:12:162',2,0.73943,0,0.532935,0.385953,2
211,'2017/11/20 19:52:12:182',2,0.743801,0,0.542656,0.408511,2
212,'2017/11/20 19:52:12:202',2,0.751471,0,0.565206,0.445709,2
213,'2017/11/20 19:52:12:222',2,0.747813,0,0.552859,0.480466,2
214,'2017/11/20 19:52:12:242',2,0.748783,0,0.551985,0.498774,2
215,'2017/11/20 19:52:12:262',2,0.75187,0,0.549629,0.507998,2
216,'2017/11/20 19:52:12:282',2,0.752279,0,0.550258,0.512357,2
217,'2017/11/20 19:52:12:302',2,0.753268,0,0.559138,0.513587,2
218,'2017/11/20 19:52:12:322',2,0.753611,0,0.554324,0.493773,2
219,'2017/11/20 19:52:12:342',2,0.759072,0,0.543768,0.475922,2
220,'2017/11/20 19:52:12:362',2,0.751071,0,0.531137,0.417968,2
221,'2017/11/20 19:52:12:382',2,0.735783,0,0.503082,0.301728,2
222,'2017/11/20 19:52:12:402',2,0.722338,0.074893,0.480655,0.182032,2
223,'2017/11/20 19:52:12:422',2,0.705575,0.13079,0.472831,0.139717,2
224,'2017/11/20 19:52:12:442',2,0.691485,0.252705,0.453856,0.097368,2
225,'2017/11/20 19:52:12:462',2,0.667352,0.524751,0.414472,0.34874,2
226,'2017/11/20 19:52:12:482',2,0.655046,0.750376,0.385756,0.648992,2
227,'2017/11/20 19:52:12:502',2,0.652983,0.908872,0.370688,0.854789,2
228,'2017/11/20 19:52:12:522',2,0.657879,1,0.372785,0.994372,2
229,'2017/11/20 19:52:12:542',2,0.659137,1,0.381621,1,2
230,'2017/11/20 19:52:12:562',2,0.659119,1,0.38903,1,2
231,'2017/11/20 19:52:12:582',2,0.644169,1,0.411957,0.996929,2
232,'2017/11/20 19:52:12:602',2,0.631125,1,0.431629,0.98085,2
233,'2017/11/20 19:52:12:622',2,0.627566,1,0.450697,0.946381,2
234,'2017/11/20 19:52:12:642',2,0.627849,1,0.460026,0.886904,2
235,'2017/11/20 19:52:12:662',2,0.626584,1,0.471008,0.794407,2
236,'2017/11/20 19:52:12:682',2,0.624349,1,0.474913,0.73512,2
237,'2017/11/20 19:52:12:702',2,0.623653,1,0.477257,0.692637,2
238,'2017/11/20 19:52:12:722',2,0.619226,0.967959,0.47744,0.633588,2
239,'2017/11/20 19:52:12:742',2,0.617788,0.937664,0.476234,0.586508,2
240,'2017/11/20 19:52:12:762',2,0.61369,0.917403,0.473044,0.557975,2
241,'2017/11/20 19:52:12:782',2,0.599063,0.917068,0.457227,0.573592,2
242,'2017/11/20 19:52:12:802',2,0.591837,0.906246,0.444099,0.57614,2
243,'2017/11/20 19:52:12:822',2,0.582689,0.891071,0.429731,0.574676,2
244,'2017/11/20 19:52:12:842',2,0.568901,0.866448,0.406231,0.578458,2
245,'2017/11/20 19:52:12:882',2,0.554258,0.827641,0.378081,0.582126,2
246,'2017/11/20 19:52:12:902',2,0.553598,0.81197,0.366841,0.584537,2
247,'2017/11/20 19:52:12:922',2,0.558891,0.791719,0.352935,0.59248,2
248,'2017/11/20 19:52:12:942',2,0.564032,0.783592,0.347728,0.6022,2
249,'2017/11/20 19:52:12:962',2,0.572261,0.779156,0.345476,0.61405,2
250,'2017/11/20 19:52:12:982',2,0.59714,0.780569,0.344296,0.638287,2
251,'2017/11/20 19:52:13:002',2,0.619929,0.782896,0.350216,0.653146,2
252,'2017/11/20 19:52:13:022',2,0.647622,0.785652,0.359384,0.668263,2
253,'2017/11/20 19:52:13:042',2,0.688387,0.783665,0.368226,0.688267,2
254,'2017/11/20 19:52:13:062',2,0.705782,0.777506,0.370949,0.698806,2
255,'2017/11/20 19:52:13:082',2,0.719067,0.765734,0.3685,0.70227,2
256,'2017/11/20 19:52:13:102',2,0.728202,0.750048,0.371662,0.698566,2
257,'2017/11/20 19:52:13:122',2,0.751617,0.721131,0.368764,0.68541,2
258,'2017/11/20 19:52:13:142',2,0.759735,0.695226,0.371653,0.666748,2
259,'2017/11/20 19:52:13:162',2,0.764702,0.662565,0.374877,0.638977,2
260,'2017/11/20 19:52:13:182',2,0.760414,0.612816,0.393265,0.592871,2
261,'2017/11/20 19:52:13:202',2,0.742215,0.576643,0.404579,0.552072,2
262,'2017/11/20 19:52:13:222',2,0.731531,0.541958,0.40439,0.5145,2
263,'2017/11/20 19:52:13:242',2,0.708587,0.515916,0.414292,0.495023,2
264,'2017/11/20 19:52:13:262',2,0.685642,0.495031,0.416074,0.473446,2
265,'2017/11/20 19:52:13:282',2,0.66895,0.48385,0.415302,0.467986,2
266,'2017/11/20 19:52:13:302',2,0.646232,0.458998,0.419064,0.443357,2
267,'2017/11/20 19:52:13:322',2,0.625058,0.482387,0.391034,0.51116,2
268,'2017/11/20 19:52:13:342',2,0.605629,0.488674,0.373813,0.537342,2
269,'2017/11/20 19:52:13:362',2,0.576563,0.496478,0.364504,0.563695,2
270,'2017/11/20 19:52:13:382',2,0.527573,0.539119,0.343478,0.651075,2
271,'2017/11/20 19:52:13:402',2,0.518458,0.551921,0.345493,0.686782,2
272,'2017/11/20 19:52:13:422',2,0.509673,0.554991,0.336336,0.708964,2
273,'2017/11/20 19:52:13:442',2,0.495289,0.560491,0.32179,0.735534,2
274,'2017/11/20 19:52:13:462',2,0.485271,0.561647,0.322473,0.744306,2
275,'2017/11/20 19:52:20:450',2,0.709759,0.420551,0.808093,0.114653,3
276,'2017/11/20 19:52:20:470',2,0.70779,0.412834,0.804089,0.115037,3
277,'2017/11/20 19:52:20:490',2,0.704189,0.401433,0.803442,0.115176,3
278,'2017/11/20 19:52:20:510',2,0.701048,0.383558,0.800483,0.115078,3
279,'2017/11/20 19:52:20:530',2,0.696136,0.369895,0.798717,0.114945,3
280,'2017/11/20 19:52:20:550',2,0.693782,0.354265,0.792633,0.114717,3
281,'2017/11/20 19:52:20:570',2,0.693807,0.345902,0.788413,0.114531,3
282,'2017/11/20 19:52:20:590',2,0.684324,0.306981,0.772891,0.114249,3
283,'2017/11/20 19:52:20:610',2,0.676111,0.302658,0.760812,0.114138,3
284,'2017/11/20 19:52:20:630',2,0.663527,0.264115,0.739908,0.114352,3
285,'2017/11/20 19:52:20:650',2,0.653609,0.234143,0.725421,0.11433,3
286,'2017/11/20 19:52:20:670',2,0.628707,0.182339,0.716606,0.113904,3
287,'2017/11/20 19:52:20:690',2,0.608021,0.144272,0.697966,0.112686,3
288,'2017/11/20 19:52:20:710',2,0.593081,0.143505,0.709316,0.112401,3
289,'2017/11/20 19:52:20:730',2,0.554485,0.139838,0.604296,0.049742,3
290,'2017/11/20 19:52:20:750',2,0.486857,0.118657,0.549751,0.033808,3
291,'2017/11/20 19:52:20:770',2,0.478923,0.115645,0.531054,0.029367,3
292,'2017/11/20 19:52:20:790',2,0.473598,0.114201,0.51484,0.027646,3
293,'2017/11/20 19:52:20:810',2,0.467495,0.112908,0.500764,0.026735,3
294,'2017/11/20 19:52:20:830',2,0.461023,0.113989,0.476913,0.026236,3
295,'2017/11/20 19:52:20:850',2,0.457697,0.117203,0.459626,0.025487,3
296,'2017/11/20 19:52:20:870',2,0.454209,0.121339,0.44178,0.024619,3
297,'2017/11/20 19:52:20:890',2,0.450955,0.128444,0.416642,0.023323,3
298,'2017/11/20 19:52:20:910',2,0.449866,0.134312,0.398912,0.022411,3
299,'2017/11/20 19:52:20:930',2,0.44905,0.14055,0.384051,0.021174,3
300,'2017/11/20 19:52:20:950',2,0.443835,0.152168,0.359142,0.019671,3
