@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
37,'2017/11/20 19:45:15:253',1,0.003519,0.020337,0.03236,0.009485,0.005726,0.004348,0.005342,0.002176,0.003612,0.002948,0.002304,0.001848,0.00306,0.001894,0.002867,0.001104,0.000648,0.000559,0.000488,0.000528,0.000359,0.000241,0.000196,0.000204,0.000104,1
38,'2017/11/20 19:45:15:253',1,0.009211,0.023322,0.021431,0.005605,0.006096,0.005883,0.007092,0.003071,0.003325,0.003219,0.002685,0.001752,0.001926,0.002625,0.002814,0.001095,0.000714,0.000657,0.000413,0.000431,0.0004,0.000227,0.000167,0.000211,0.000104,1
39,'2017/11/20 19:45:15:276',1,0.00643,0.020624,0.01185,0.00575,0.006575,0.00676,0.007557,0.003891,0.004392,0.001773,0.001826,0.001263,0.00209,0.002114,0.002959,0.000704,0.000705,0.000546,0.000483,0.00051,0.000316,0.000199,0.000195,0.000178,0.000097,1
40,'2017/11/20 19:45:15:276',1,0.00479,0.020745,0.016902,0.007932,0.008751,0.009048,0.004803,0.00339,0.007323,0.001667,0.002297,0.0016,0.002864,0.002856,0.0033,0.001024,0.000817,0.000447,0.000454,0.000461,0.000278,0.000199,0.00018,0.000175,0.000099,1
41,'2017/11/20 19:45:15:299',1,0.005748,0.029257,0.022132,0.006774,0.004047,0.008068,0.003513,0.003591,0.010152,0.001771,0.001638,0.001326,0.004684,0.003026,0.003411,0.001241,0.00087,0.000418,0.000379,0.000486,0.000291,0.000189,0.000176,0.000184,0.000091,1
42,'2017/11/20 19:45:15:299',1,0.006004,0.031092,0.028984,0.008095,0.003786,0.004751,0.003545,0.004415,0.028617,0.002653,0.001873,0.001635,0.003373,0.002535,0.002785,0.000971,0.000743,0.000533,0.000439,0.000536,0.000269,0.000212,0.000192,0.000173,0.000093,1
43,'2017/11/20 19:45:15:322',1,0.00417,0.033059,0.020997,0.010216,0.006249,0.003109,0.003395,0.003233,0.024632,0.004519,0.002272,0.001442,0.004107,0.002433,0.002666,0.001105,0.000755,0.000565,0.000434,0.000642,0.000241,0.000218,0.000192,0.000162,0.000124,1
44,'2017/11/20 19:45:15:322',1,0.005711,0.031702,0.01424,0.007277,0.009065,0.004808,0.006838,0.004943,0.010068,0.002562,0.002455,0.001871,0.00468,0.002878,0.002603,0.000889,0.000627,0.000528,0.000455,0.000474,0.000244,0.00021,0.000232,0.000171,0.000122,1
45,'2017/11/20 19:45:15:345',1,0.004574,0.02263,0.019508,0.006056,0.011843,0.007903,0.006181,0.005203,0.010919,0.001856,0.002742,0.001663,0.003875,0.002872,0.002874,0.000879,0.000622,0.000504,0.000433,0.00038,0.000244,0.000205,0.000219,0.0002,0.000132,1
46,'2017/11/20 19:45:15:346',1,0.005319,0.021983,0.029117,0.014109,0.008606,0.004785,0.00498,0.004458,0.011644,0.001652,0.002217,0.001412,0.002893,0.002131,0.003416,0.00101,0.000687,0.000582,0.000346,0.000497,0.000285,0.000234,0.000192,0.000217,0.000143,1
47,'2017/11/20 19:45:15:369',1,0.004662,0.028296,0.030338,0.013705,0.007913,0.006311,0.00505,0.004296,0.017211,0.002282,0.001846,0.001493,0.002063,0.002604,0.002905,0.001021,0.00068,0.000459,0.000451,0.000462,0.000311,0.000211,0.000204,0.000218,0.00011,1
48,'2017/11/20 19:45:15:369',1,0.005119,0.023558,0.024675,0.012956,0.005904,0.008482,0.006825,0.003956,0.027658,0.003361,0.001421,0.001582,0.001527,0.001856,0.002542,0.000827,0.000774,0.000386,0.000386,0.000481,0.000284,0.000224,0.000201,0.000218,0.000101,1
49,'2017/11/20 19:45:15:392',1,0.00525,0.017457,0.036608,0.012415,0.004818,0.012104,0.007427,0.002538,0.014516,0.003385,0.001578,0.001544,0.001239,0.00144,0.002483,0.000575,0.000625,0.00049,0.000368,0.00054,0.000308,0.000233,0.000197,0.000199,0.000118,1
50,'2017/11/20 19:45:15:392',1,0.00594,0.031732,0.027233,0.014744,0.008283,0.006487,0.007427,0.003402,0.006177,0.002788,0.002635,0.001131,0.002131,0.002363,0.00241,0.000611,0.000528,0.000453,0.000413,0.000486,0.000268,0.000259,0.000202,0.0002,0.000124,1
51,'2017/11/20 19:45:15:415',1,0.00371,0.03176,0.020671,0.013818,0.010521,0.003957,0.003899,0.002099,0.002451,0.001713,0.001529,0.001073,0.001892,0.001906,0.002582,0.000749,0.000595,0.000389,0.000496,0.000477,0.000276,0.000239,0.000202,0.000206,0.000144,1
52,'2017/11/20 19:45:15:415',1,0.002409,0.032362,0.013125,0.012592,0.005806,0.002542,0.002745,0.002881,0.003333,0.002078,0.001826,0.001088,0.002076,0.002022,0.002485,0.000877,0.000765,0.000285,0.000512,0.000592,0.000267,0.000222,0.000195,0.000177,0.000137,1
53,'2017/11/20 19:45:15:438',1,0.002254,0.031312,0.017856,0.013851,0.005598,0.002518,0.002422,0.002162,0.004,0.002826,0.001672,0.000862,0.001383,0.0023,0.003025,0.000821,0.000815,0.000345,0.00037,0.000575,0.000281,0.000188,0.000189,0.000188,0.00013,1
54,'2017/11/20 19:45:15:439',1,0.005451,0.019209,0.024094,0.016265,0.006908,0.00267,0.004227,0.002971,0.002887,0.001646,0.001866,0.001,0.001347,0.001811,0.002824,0.000754,0.0008,0.000389,0.000386,0.000407,0.000281,0.000189,0.000182,0.000219,0.000118,1
55,'2017/11/20 19:45:15:462',1,0.005466,0.010388,0.021031,0.00674,0.007576,0.003559,0.004616,0.003579,0.003515,0.00201,0.001611,0.001222,0.00115,0.002003,0.002789,0.000742,0.00069,0.000419,0.000287,0.000427,0.000267,0.000205,0.000202,0.000198,0.000122,1
56,'2017/11/20 19:45:15:462',1,0.002681,0.014879,0.023157,0.006841,0.007503,0.005049,0.005162,0.002494,0.003386,0.002575,0.001545,0.001295,0.001253,0.002298,0.002832,0.000566,0.000555,0.0004,0.000363,0.00036,0.000262,0.000222,0.000192,0.000196,0.000121,1
57,'2017/11/20 19:45:15:485',1,0.003835,0.01088,0.026172,0.004874,0.009081,0.006141,0.003985,0.001948,0.002587,0.001614,0.001666,0.001166,0.001655,0.002094,0.002498,0.000476,0.000529,0.000313,0.000419,0.000353,0.000316,0.00025,0.000186,0.000181,0.000101,1
58,'2017/11/20 19:45:15:485',1,0.003286,0.012373,0.021887,0.006279,0.010386,0.005246,0.004589,0.002361,0.004273,0.00161,0.00151,0.001396,0.001876,0.001885,0.00234,0.000747,0.000732,0.000426,0.000324,0.000399,0.000312,0.000233,0.000171,0.000159,0.00011,1
59,'2017/11/20 19:45:15:508',1,0.002225,0.015532,0.025292,0.011953,0.011153,0.006132,0.003599,0.002599,0.003553,0.002668,0.00183,0.000988,0.00152,0.001831,0.002277,0.000946,0.000694,0.000526,0.000354,0.00048,0.000285,0.00022,0.000174,0.000153,0.000104,1
60,'2017/11/20 19:45:15:508',1,0.006244,0.024651,0.016154,0.016654,0.00657,0.002742,0.003783,0.003333,0.003145,0.001984,0.002901,0.002481,0.003224,0.002254,0.002516,0.001095,0.000908,0.000717,0.000354,0.000648,0.000353,0.00032,0.00019,0.000181,0.000115,1
61,'2017/11/20 19:45:15:531',1,0.006434,0.022652,0.017115,0.012059,0.012467,0.008636,0.018602,0.034568,0.029286,0.013493,0.016823,0.049117,0.066426,0.027191,0.008517,0.007903,0.009776,0.012024,0.003505,0.001851,0.000539,0.001221,0.000608,0.000344,0.000368,1
